10:24:07.322 | INFO     | ============================================================
10:24:07.322 | INFO     | INIT | circuit=Parcours 7 segments | start=(25,10) | angle=0°
10:24:11.402 | DEBUG    | FUZZY | pos=(224,241) | angle=66.0° | G=15 D=3 delta=-12 | mu_N=0.05 mu_Z=0.60 mu_P=0.00 | da=-1.21°
10:24:11.419 | DEBUG    | FUZZY | pos=(225,243) | angle=64.8° | G=31 D=1 delta=-30 | mu_N=0.12 mu_Z=0.00 mu_P=0.00 | da=-12.24°
10:24:11.444 | DEBUG    | FUZZY | pos=(227,246) | angle=52.6° | G=15 D=1 delta=-14 | mu_N=0.05 mu_Z=0.53 mu_P=0.00 | da=-3.57°
10:24:11.455 | DEBUG    | FUZZY | pos=(229,249) | angle=49.0° | G=15 D=0 delta=-15 | mu_N=0.06 mu_Z=0.50 mu_P=0.00 | da=-1.98°
10:24:11.469 | DEBUG    | FUZZY | pos=(231,251) | angle=47.0° | G=15 D=0 delta=-15 | mu_N=0.06 mu_Z=0.50 mu_P=0.00 | da=-1.66°
10:24:11.489 | DEBUG    | FUZZY | pos=(233,253) | angle=45.4° | G=15 D=0 delta=-15 | mu_N=0.06 mu_Z=0.50 mu_P=0.00 | da=-1.59°
10:24:11.502 | DEBUG    | FUZZY | pos=(235,255) | angle=43.8° | G=14 D=0 delta=-14 | mu_N=0.05 mu_Z=0.53 mu_P=0.00 | da=-1.44°
10:24:11.527 | DEBUG    | FUZZY | pos=(237,257) | angle=42.4° | G=30 D=0 delta=-30 | mu_N=0.12 mu_Z=0.00 mu_P=0.00 | da=-12.29°
10:24:11.536 | DEBUG    | FUZZY | pos=(239,259) | angle=30.1° | G=15 D=0 delta=-15 | mu_N=0.06 mu_Z=0.50 mu_P=0.00 | da=-3.72°
10:24:11.555 | DEBUG    | FUZZY | pos=(242,261) | angle=26.3° | G=7 D=0 delta=-7 | mu_N=0.03 mu_Z=0.77 mu_P=0.00 | da=-1.16°
